"Datum";"+A/84121509 [kW]";"Status";
"05.01.2024 11:15:00";0,124;"namìøená data OK";
"05.01.2024 11:30:00";0,379;"namìøená data OK";
"05.01.2024 11:45:00";0;"namìøená data OK";
"05.01.2024 12:00:00";0,002;"namìøená data OK";
"05.01.2024 12:15:00";0,009;"namìøená data OK";
"05.01.2024 12:30:00";0;"namìøená data OK";
"05.01.2024 12:45:00";0,28;"namìøená data OK";
"05.01.2024 13:00:00";0,073;"namìøená data OK";
"05.01.2024 13:15:00";0,703;"namìøená data OK";
"05.01.2024 13:30:00";1,018;"namìøená data OK";
"05.01.2024 13:45:00";1,359;"namìøená data OK";
"05.01.2024 14:00:00";0,553;"namìøená data OK";
"05.01.2024 14:15:00";0,023;"namìøená data OK";
"05.01.2024 14:30:00";0,07;"namìøená data OK";
"05.01.2024 14:45:00";0,02;"namìøená data OK";
"05.01.2024 15:00:00";0,013;"namìøená data OK";
"05.01.2024 15:15:00";0,002;"namìøená data OK";
"05.01.2024 15:30:00";0,064;"namìøená data OK";
"05.01.2024 15:45:00";0,244;"namìøená data OK";
"05.01.2024 16:00:00";0,223;"namìøená data OK";
"05.01.2024 16:15:00";0,306;"namìøená data OK";
"05.01.2024 16:30:00";0,671;"namìøená data OK";
"05.01.2024 16:45:00";0,327;"namìøená data OK";
"05.01.2024 17:00:00";1,341;"namìøená data OK";
"05.01.2024 17:15:00";6,224;"namìøená data OK";
"05.01.2024 17:30:00";5,71;"namìøená data OK";
"05.01.2024 17:45:00";5,598;"namìøená data OK";
"05.01.2024 18:00:00";5,856;"namìøená data OK";
"05.01.2024 18:15:00";5,479;"namìøená data OK";
"05.01.2024 18:30:00";4,441;"namìøená data OK";
"05.01.2024 18:45:00";3,655;"namìøená data OK";
"05.01.2024 19:00:00";2,317;"namìøená data OK";
"05.01.2024 19:15:00";1,97;"namìøená data OK";
"05.01.2024 19:30:00";0,547;"namìøená data OK";
"05.01.2024 19:45:00";0,598;"namìøená data OK";
"05.01.2024 20:00:00";2,563;"namìøená data OK";
"05.01.2024 20:15:00";0,659;"namìøená data OK";
"05.01.2024 20:30:00";0,527;"namìøená data OK";
"05.01.2024 20:45:00";0,527;"namìøená data OK";
"05.01.2024 21:00:00";0,559;"namìøená data OK";
"05.01.2024 21:15:00";0,543;"namìøená data OK";
"05.01.2024 21:30:00";0,485;"namìøená data OK";
"05.01.2024 21:45:00";0,526;"namìøená data OK";
"05.01.2024 22:00:00";0,599;"namìøená data OK";
"05.01.2024 22:15:00";0,289;"namìøená data OK";
"05.01.2024 22:30:00";0,179;"namìøená data OK";
"05.01.2024 22:45:00";0,262;"namìøená data OK";
"05.01.2024 23:00:00";0,615;"namìøená data OK";
"05.01.2024 23:15:00";0,216;"namìøená data OK";
"05.01.2024 23:30:00";0,428;"namìøená data OK";
"05.01.2024 23:45:00";0,782;"namìøená data OK";
"05.01.2024 24:00:00";0,492;"namìøená data OK";
"06.01.2024 00:15:00";0,187;"namìøená data OK";
"06.01.2024 00:30:00";0,165;"namìøená data OK";
"06.01.2024 00:45:00";0,256;"namìøená data OK";
"06.01.2024 01:00:00";0,125;"namìøená data OK";
"06.01.2024 01:15:00";0,156;"namìøená data OK";
"06.01.2024 01:30:00";0,128;"namìøená data OK";
"06.01.2024 01:45:00";0,153;"namìøená data OK";
"06.01.2024 02:00:00";0,132;"namìøená data OK";
"06.01.2024 02:15:00";0,154;"namìøená data OK";
"06.01.2024 02:30:00";0,192;"namìøená data OK";
"06.01.2024 02:45:00";0,36;"namìøená data OK";
"06.01.2024 03:00:00";0,141;"namìøená data OK";
"06.01.2024 03:15:00";0,157;"namìøená data OK";
"06.01.2024 03:30:00";0,133;"namìøená data OK";
"06.01.2024 03:45:00";0,154;"namìøená data OK";
"06.01.2024 04:00:00";0,464;"namìøená data OK";
